itemNumber,fileName,dbIndex,dbType,dbSmith,dbMei,dbPeriod
84,JT-48-1-082 Hatakeda Sanemori,8670,Katana,Unji,Mumei [雲次],Late Kamakura - Nanbokucho
85,JT-48-1-083 Hatakeda Mitsumori,8793,Katana,Unju,Mumei [雲重],Nanbokucho
86,JT-48-1-084 Unsho,8966,Katana,Motoshige,Mumei [元重],Middle Nanbokucho
87,JT-48-1-085 Unji,9012,Wakizashi,Motoshige,備州長船住元重/ 延文二年十月日,1357
88,JT-48-1-086 Unju,9064,Katana,Shigezane,Mumei [重真],Nanbokucho
89,JT-48-1-087 Kanemitsu,9117,Tachi,Kanemitsu,正慶元年十二月日[Kinzogan 兼光磨之],1332
90,JT-48-1-088 Kanemitsu,9158,Katana,Kanemitsu,Mumei [兼光],Nanbokucho
91,JT-48-1-089 Kanemitsu,9172,Katana,Kanemitsu,[Kinzogan 兼光/ / 本阿(花押) [光忠]],Nanbokucho
92,JT-48-1-090 Kanemitsu,9241,Katana,Kanemitsu,Mumei [兼光],Nanbokucho
93,JT-48-1-091 Tomomitsu,9427,Katana,Tomomitsu,Mumei [倫光],Nanbokucho
94,JT-48-1-092 Masamitsu,9526,Tachi,Masamitsu,備州長船(Cut off) / □□□年八月(Cut off) [政光],Nanbokucho
95,JT-48-1-093 Masamitsu,9535,Tachi,Masamitsu,備州長船□光/ 応安七年十月日 [政光],1374
96,JT-48-1-094 Masamitsu,9550,Katana,Masamitsu,Mumei [政光],Nanbokucho
97,JT-48-1-095 Nariie,9683,Katana,Chogi,Mumei [長義],Nanbokucho
98,JT-48-1-096 Nariie,9712,Naoshi,Chogi,[Shusho 長義/ 本阿 (花押) (光遜)],Nanbokucho
99,JT-48-1-097 Nariie,9804,Katana,Kanenaga,Mumei [兼長],Nanbokucho
100,JT-48-1-098 Sukemitsu,9825,Wakizashi,Kanenaga,Mumei [兼長],Nanbokucho
101,JT-48-1-099 Tomosada,9891,Tachi,Morikage,備前国長船住盛景[Kinzogan 明暦貮年十一月六日/ 山野加右衛門尉永久 (花押) / 三ツ胴切落],Nanbokucho
102,JT-48-1-100 Motoshige,10038,Katana,Yoshikage,Mumei [義景] [Kinzogan 戊辰之役依戦功/ 大総督宮殿下所賜 河田左久馬源景與],Nanbokucho
103,JT-48-1-101 Motoshige,10052,Katana,Yoshikage,Mumei [伝義景],Nanbokucho
104,JT-48-1-102 Shigezane,10082,Naoshi,Yoshikage,Mumei [義景],Nanbokucho
105,JT-48-1-103 Chogi,10267,Katana,Nariie,Mumei [成家],Nanbokucho
106,JT-48-1-104 Chogi,10285,Katana,Nariie,Mumei [成家],Nanbokucho
107,JT-48-1-105 Kencho,10293,Naoshi,Nariie,Mumei [成家],Nanbokucho
108,JT-48-1-106 Kencho,10648,Wakizashi,Shigenori,備前国吉井重則/ 文安六年八月日,1449
109,JT-48-1-107 Morikage,10790,Wakizashi,Morimitsu,修理亮盛光/ 応永卅三年二月日,1426
110,JT-48-1-108 Yoshikage,10852,Wakizashi,Morimitsu,修理亮盛光/ 応永卅二年八月日,1425
111,JT-48-1-109 Yoshikage,11261,Tachi,Arimitsu,備州長船在光,Late Nanbokucho
112,JT-48-1-110 Yoshikage,11262,Tachi,Tomosada,備州長船友貞,Late Nanbokucho
113,JT-48-1-111 Morimitsu,11361,Tanto,Toshitsugu,備中国万寿本庄住俊次作/ 延文二二年二月日,1359
114,JT-48-1-112 Morimitsu,11380,Tachi,Shigetsugu,重次,Middle Kamakura
115,JT-48-1-113 Shigenori,11547,Tanto,Yasuie,備中国妹尾住刑部尉安(Cut off) / 文保二年二月廿日 (棟に) 生年七十一作 [安家] (Juyo 24 - Suketsugu [助次]),1318
116,JT-48-1-114 Kiyomitsu,11652,Tanto,Tsuguyoshi,備中国住次吉作/ 貞治三年二月日,1364
117,JT-48-1-115 Shigetsugu Detail1,11861,Katana,Aoe,Mumei [青江],Nanbokucho
118,JT-48-1-115 Shigetsugu Detail2,11901,Katana,Aoe,Mumei [青江],Late Kamakura
119,JT-48-1-115 Shigetsugu Sayagaki1,11984,Katana,Aoe,[Shusho 青江],Late Kamakura - Nanbokucho
