Index,School,Smith,Mei,Type,Nagasa,Sori,Moto,Saki,Nakago,Ana,Length,Hori,Authentication,Province,Period,References,Description,Attachments,Tags,MediaAttachments
1,Sanjo,Munechika,三条,Tachi,80,2.8,2.9,1.4,Ubu,2,18.7,NA,"Kokuho, Tokyo National Museum",Yamashiro,Late Heian,"TB 59, TB 111, TB 496f, MKS, GAK, KOZA, SHI, EKO, KOU, SHO, CLUB, KYO, SDZ, CUL, KOK, JUBU, MEIB, JBRN00012, KOZU, TAI, TS 843, TNSE, JPS","Meito – Mikazuki Munechika 三日月宗近, Denrai - Toyotomi Hideyoshi, Tokugawa Hidetada, Tokugawa Family",Koshirae,,
2,Sanjo,Munechika,Mumei [伝宗近],Tachi,79.4,3,NA,NA,Ubu,2,NA,NA,"Fukuoka Prefecture Bunkazai, Hakozakigu",Yamashiro,Late Heian,"PBU, FUO, FUOC",NA,NA,,
3,Sanjo,Munechika,宗□ [宗近],Tachi,78.9,3.1,2.9,1.6,Ubu,3,20.2,NA,"Juyo Bunkazai, Wakasahiko Jinja",Yamashiro,Late Heian,"SHO, KYO, JUBU, CUL, JBRN01280, FUK, KOZU, OBAC, OEYE",Dedicated to the shrine by Sakai Tadanari in 1795,NA,,
4,Sanjo,Munechika,宗近,Tachi,78.4,2.4,3,1.5,Ubu,2,20.3,NA,Imperial Collection,Yamashiro,Late Heian,"TB 111, TB 198, KOZA, SHI, SDZ, TAI, MEOS, GYOK","Gyobutsu, Denrai - Sakai Family, Emperor Meiji",NA,,
5,Sanjo,Munechika,三条,Tachi,78.1,3.2,2.9,1.7,Ubu,2,18.9,Hi,"Juyo Bunkazai, Nangu Taisha",Yamashiro,Late Heian,"TB 59, ART, SC, KOU, JUBU, KOZA, KYO, CUL, JBRN01293, GIF, ONPR, KASS",Dedicated to the shrine by Yabashi Ryokichi in early Showa,NA,,
6,Sanjo,Munechika,Mei ga aru 三条,Tachi,76.1,NA,NA,NA,Ubu,1,NA,Hi,XX,Yamashiro,Late Heian,TB 242,NA,NA,,
7,Sanjo,Munechika,宗近,Tachi,74.9,NA,NA,NA,Ubu,1,NA,NA,Hikone Castle Museum,Yamashiro,Late Heian,REB,Burned,NA,,
8,Sanjo,Munechika,宗近 (再刃),Tanto,29.7,0,NA,NA,Suriage,4,9.1,Hori,Tokugawa Art Museum,Yamashiro,Late Heian,"SC, TG, UG, KOU, REB, TOK3, TOK6, TOKS","Meito – Ebina Kokaji 海老名小鍛治, Saiha, Burned in Osaka Castle",Sayagaki,,
9,Sanjo,Munechika,宗近,Tanto,24.3,NA,NA,NA,Ubu,3,8.8,NA,Tokugawa Art Museum,Yamashiro,Late Heian,TOKS,NA,Sayagaki,,
10,Sanjo,Yoshiie,Mumei [三条吉家],Tachi,77.6,3.3,3,1.9,Ubu,2,21.2,NA,Juyo 26,Yamashiro,Late Heian,JNZ,NA,NA,,
11,Sanjo,Yoshiie,吉家作,Tachi,76.9,2.4,3,1.8,Ubu,1,19.9,NA,Juyo 20,Yamashiro,Late Heian,"JNZ, KANHI1",NA,NA,,
12,Sanjo,Yoshiie,吉家作,Tachi,76.1,2.3,2.6,1.7,Suriage,2,16,NA,"Uesugi Family, Private",Yamashiro,Late Heian - Early Kamakura,"TB 130, KOZA, NKAN, TAI, NKKA, UES",Denrai - Uesugi Kenshin,NA,,
13,Sanjo,Yoshiie,吉家作,Tachi,75.8,3,NA,NA,NA,NA,NA,NA,"Juyo Bunkazai, Mori Shusui Museum of Art",Yamashiro,Late Heian,"TB 51f, CUL, JBRN01748",NA,NA,,
14,Sanjo,Yoshiie,吉家作,Tachi,74.8,2.4,2.9,1.9,Suriage,3,21.5,NA,"Juyo Bunkazai, Kyoto National Museum",Yamashiro,Late Heian,"KOZA, EKO, KYO, SDZ, JUBU, CUL, JBRN01146, KNM, TNSE, JPS",Denrai - Shimazu Family,NA,,
15,Sanjo,Yoshiie,吉家,Tachi,74.3,2.6,2.9,2,Suriage,3,17,NA,"Juyo Bunkazai, Location Unlisted",Yamashiro,Late Heian - Early Kamakura,"TB 111f, JUBU, CUL, JBRN01314, TAI",NA,NA,,
16,Sanjo,Yoshiie,吉家作,Tachi,73.9,2.6,2.9,2.1,Suriage,3,22.1,NA,Imperial Collection,Yamashiro,Late Heian - Early Kamakura,"MEOS, GYOK",Denrai - Hachisuka Family,Koshirae,,
17,Sanjo,Yoshiie,□家 [伝吉家],Tachi,71.8,NA,NA,NA,Ubu,2,NA,NA,"Juyo Bijutsuhin, Private Tokyo",Yamashiro,Late Heian,JUBI,Denrai - Ikeda Family,NA,,
18,Sanjo,Yoshiie,吉家,Tachi,70.6,2,2.8,2.1,Suriage,2,16.8,NA,"Juyo 5, Tokubetsu Juyo 23",Yamashiro,Late Heian,"TB 423f, JNZ, TJNZ, MKS",Denrai - Shimazu Family,Koshirae,,
19,Sanjo,Yoshiie,吉家,Tachi,70.5,2.5,2.6,1.8,Suriage,4,21,NA,Juyo 17,Yamashiro,Late Heian,JNZ,NA,NA,,
20,Sanjo,Yoshiie,吉家作,Tachi,70.3,1.1,2.8,2,Suriage,3,19.9,NA,"Juyo Bunkazai, Kosetsu Museum of Art",Yamashiro,Late Heian - Early Kamakura,"KYO, JUBU, CUL, JBRN01404, HYO, KASS",NA,NA,,
21,Sanjo,Yoshiie,吉家,Tachi,69.4,2.2,2.6,1.7,Suriage,4,NA,NA,"Juyo Bunkazai, Hayashibara Museum of Art",Yamashiro,Late Heian - Early Kamakura,"CUL, JBRN01168, OKA, HAYA",NA,Koshirae,,
22,Sanjo,Yoshiie,吉家作,Tachi,68.4,2.1,NA,NA,Suriage,3,NA,Hi,Hayashibara Museum of Art,Yamashiro,Late Heian - Early Kamakura,HAYA,NA,Koshirae,,
23,Sanjo,Yoshiie,吉家,Tachi,NA,NA,NA,NA,NA,NA,NA,NA,"Juyo Bunkazai, Location Unlisted",Yamashiro,Late Heian,"CUL, JBRN01607",NA,NA,,
24,Sanjo,Yoshiie,Mumei [伝吉家],Katana,73.5,1.9,NA,NA,Suriage,3,21.8,Hori,"Juyo Bijutsuhin, Tokugawa Art Museum",Yamashiro,Late Heian,"JUBI, TOK3, TOK6, TOKS",Denrai - Owari Tokugawa Family,"Sayagaki, Honami Origami",,
25,Sanjo,Yoshiie,Mumei [伝三条吉家],Katana,72.8,2.1,2.8,1.7,Suriage,2,24,NA,Juyo 16,Yamashiro,Late Heian,JNZ,NA,NA,,
26,Sanjo,Yoshiie,Orikaeshi 吉家,Katana,66.7,NA,NA,NA,Suriage,3,NA,Hi,"Juyo Bijutsuhin, Private Tokyo",Yamashiro,Late Heian,JUBI,Denrai - Matsudaira Family,NA,,
27,Sanjo,Yoshiie,[Kiritsuke 吉家スリ上] [三条],Katana,66.5,2,2.7,2,Suriage,2,18.1,NA,Juyo 18,Yamashiro,Late Heian,JNZ,NA,NA,,
28,Sanjo,Yoshiie,Mumei [伝三条吉家],Katana,66.4,1.4,2.5,1.6,Suriage,2,16.7,NA,Juyo 13,Yamashiro,Late Heian,JNZ,NA,Honami Origami,,
29,Sanjo,Yoshiie,Gakumei 吉家作,Katana,63.8,1.2,NA,NA,Suriage,5,NA,NA,"Juyo Bijutsuhin, Token Corp",Yamashiro,Late Heian,"JUBI, TOW, OEYE",NA,Koshirae,,
30,Sanjo,Yoshiie,Mumei [伝三条吉家],Wakizashi,56,0.5,2.5,1.9,Suriage,1,13.9,Hi,Juyo 16,Yamashiro,Late Heian,JNZ,NA,NA,,
31,Sanjo,Yoshiie,Mumei [三条吉家] [Kiritsuke 成瀬正輝磨上之],Wakizashi,54.5,1,2.4,1.7,Suriage,1,14.7,NA,Juyo 15,Yamashiro,Late Heian,JNZ,NA,NA,,
32,Sanjo,Arinari,有成 (再刃),Tachi,76,2.6,2.8,1.7,Suriage,3,24.2,NA,"Juyo Bijutsuhin, Ishigiri Tsurugiya Shrine",Yamashiro,Late Heian,"KYO, JUBI, KASS","Meito – Ishikirimaru 石切丸, Saiha",NA,,
33,Sanjo,Chikamura,近村,Tachi,78.2,2.7,2.7,1.8,Ubu,2,20.3,NA,Imperial Collection or Tokyo National Museum,Yamashiro,Late Heian - Early Kamakura,MEOS,NA,NA,,
34,Sanjo,Chikamura,近村,Tachi,75.8,2.1,NA,NA,Suriage,4,21.5,NA,"Juyo Bijutsuhin, Tokugawa Art Museum",Yamashiro,Late Heian - Early Kamakura,"JUBI, TOK3, TOK6, TOKS",Denrai - Tokugawa Family,Sayagaki (Bizen Chikamura),,
35,Sanjo,Chikamura,宗近村上 [近村作],Tachi,74.5,2.3,2.6,1.5,Ubu,1,19.7,NA,Tokyo National Museum,Yamashiro,Late Heian - Early Kamakura,"MEOS, JPS",NA,NA,,
36,Sanjo,Chikamura,近村[Shusho ga aru 三条],Tachi,71.6,2.3,2.5,1.6,Suriage,2,14.9,NA,"Juyo 17, Tokubetsu Juyo 5",Yamashiro,Late Heian,"TB 230, JNZ, TJNZ",NA,NA,,
37,Sanjo,Chikamura,近村 [三条],Tachi,71.2,2.3,2.7,1.5,Ubu,2,NA,NA,Hozon,Yamashiro,Late Heian,"OPL, H3035764",NA,Sayagaki,,
38,Sanjo,Chikamura,近村,Tachi,66.9,2.3,2.8,1.9,Ubu,3,21.2,NA,Juyo 26,Yamashiro,Late Heian,"TB 196, JNZ, KYO, KANHI2",NA,NA,,
39,Sanjo,Chikamura,近村上 (再刃),Tachi,65.2,1.4,2.5,1.6,Ubu,3,17.4,NA,Juyo 26,Yamashiro,Late Heian,"TB 311, TBE 16, JNZ",Saiha,NA,,
40,Sanjo,Sanjo,Mumei [伝三条],Tachi,73.9,2.2,NA,NA,Suriage,3,NA,Hi,Chido Museum,Yamashiro,Late Heian,CHDD,NA,NA,,
41,Sanjo,Sanjo,Mumei [伝三条],Kodachi,56,1.7,2.3,1.3,Suriage,2,11.8,NA,"Juyo 26, Token Corp",Yamashiro,Late Heian,"JNZ, OPL, TOW, OEYE",NA,Koshirae,,
42,Gojo,Kanenaga,兼□ [伝五条],Tachi,77.4,2.9,2.9,1.6,Ubu,1,22.8,NA,"Juyo 26, Tokubetsu Juyo 8",Yamashiro,Late Heian,"TB 312, JNZ, TJNZ",NA,NA,,
43,Gojo,Kanenaga,兼永,Tachi,77.1,2.4,2.8,1.6,Ubu,1,20.8,NA,"Juyo Bunkazai, NBTHK",Yamashiro,Late Heian,"TB 113, TB 129, TB 199f, TB 675f, SC, KOZA, KOU, SHO, KYO, SDZ, JUBU, CUL, JBRN01229, SUMIW, TAI",Denrai - Tokutaro Kimura,NA,,
44,Gojo,Kanenaga,兼永,Tachi,72.7,NA,NA,NA,Suriage,2,NA,Hi,"Juyo Bijutsuhin, Private Osaka",Yamashiro,Late Heian,JUBI,NA,NA,,
45,Gojo,Kanenaga,兼□ [伝五条],Tachi,69.9,1.4,2.3,1.5,Suriage,3,15.1,NA,Juyo 26,Yamashiro,Late Heian,"JNZ, OPL",NA,"Sayagaki, Koshirae",,
46,Gojo,Kanenaga,兼(Cut off) [兼永],Tachi,67.2,1.8,2.5,1.6,Suriage,2,18.5,NA,"Juyo 19, Private",Yamashiro,Late Heian - Early Kamakura,"JNZ, KOU, KYO, OPL",NA,Kanzan Sayagaki,,
47,Gojo,Kanenaga,Mumei [伝兼永],Katana,74.9,NA,NA,NA,Suriage,2,NA,Hi,"Juyo Bijutsuhin, Private Tokyo",Yamashiro,Late Heian,JUBI,NA,NA,,
48,Gojo,Kanenaga,Mumei [伝兼永],Katana,74.8,2.4,2.9,NA,Suriage,NA,17.6,NA,"Juyo Bunkazai, Private Chiba",Yamato,Late Heian,"CUL, JBRN01743, ICHC",NA,NA,,
49,Gojo,Kanenaga,Mumei [伝兼永],Katana,71.2,2.1,NA,NA,Suriage,2,17.6,Hi,"Juyo Bijutsuhin, Tokugawa Art Museum",Yamashiro,Late Heian,"JUBI, TOK3, TOK6, TOKS",Denrai - Owari Tokugawa Family,Sayagaki,,
50,Gojo,Kanenaga,Mumei [伝五条兼永] (Juyo 18 Mumei [兼永]),Katana,67,2.5,2.8,1.9,Suriage,2,18.6,Hi,"Juyo 18, Tokubetsu Juyo 12",Yamashiro,Late Heian,"JNZ, TJNZ, DTI22",NA,Tanobe Sayagaki,,
51,Gojo,Kanenaga,Mumei [伝五条兼永],Katana,62.2,2,2.6,1.9,Suriage,4,16.8,Hi,Juyo 22,Yamashiro,Late Heian,"JNZ, OPL",NA,Honami Sayagaki,,
52,Gojo,Kanenaga,Mumei [伝五条兼永],Katana,62.1,1.8,2.7,1.8,Suriage,2,16.7,Hi,Juyo 12,Yamashiro,Late Heian,"JNZ, OPL",NA,"Kanzan Sayagaki, Koshirae",,
53,Gojo,Kanenaga,Mumei [伝五条兼永],Ken,26.7,NA,NA,NA,Ubu,1,NA,Hi,XX,Yamashiro,Late Heian,TB 349,NA,NA,,
54,Gojo,Kuninaga,国永,Tachi,78.8,2.7,2.7,1.5,Ubu,1,18.2,NA,Imperial Collection,Yamashiro,Late Heian,"TB 113, KOZA, KOU, SHO, SDZ, TAI, MEOS, GYOK, TNSE","Meito – Tsurumaru 鶴丸, Gyobutsu, Denrai - Hojo Family, Oda Nobunaga, Saegusa Kanbei, Date Family, Emperor Meiji",NA,,
55,Gojo,Kuninaga,Mumei [国永],Tachi,76.7,NA,NA,NA,Ubu,2,NA,NA,XX,Yamashiro,Late Heian,"TB 199, KANHI2",Hagire,Kunzan Sayagaki,,
56,Gojo,Kuninaga,国永,Tachi,76.4,2.4,2.7,1.7,Ubu,1,18.4,NA,Private,Yamashiro,Late Heian,"TB 421f, MKS, SC, FUJI",NA,NA,,
57,Gojo,Kuninaga,国永,Tachi,75.9,2.3,2.6,1.6,Ubu,1,17.9,NA,Ise Jingu,Yamashiro,Late Heian,"TAI, KOZA, ISE, FUJI",Dedicated to the shrine by Tokugawa Yoshimune in 1729,Koshirae,,
58,Gojo,Kuninaga,国永,Tachi,75.5,2.4,2.7,1.7,Suriage,3,22.7,NA,"Juyo Bijutsuhin, Private Tokyo",Yamashiro,Late Heian,"TB 604f, JUBI",NA,NA,,
59,Gojo,Kuninaga,国永,Tachi,75.3,2.3,2.8,1.7,Ubu,1,18.3,NA,Private,Yamashiro,Late Heian - Early Kamakura,KYO,"Denrai - Date Family, Emperor Meiji",NA,,
60,Gojo,Kuninaga,Mumei [伝五条国永],Tachi,73.9,1.7,2.9,1.9,Ubu,3,20.3,NA,Juyo 56,Yamashiro,Late Heian,JNZ,NA,NA,,
61,Gojo,Kuninaga,合田口等利伝国永作,Tachi,70.9,NA,NA,NA,Suriage,3,NA,Hi,"Juyo Bijutsuhin, Private Osaka",Yamashiro,Middle Kamakura,JUBI,NA,NA,,
62,Gojo,Kuninaga,国永,Tachi,69.4,NA,NA,NA,NA,5,NA,Hori,"Juyo Bijutsuhin, NBTHK",Yamashiro,Late Heian,"JUBI, OEYE",Denrai - Date Family,"Koshirae, Honami Origami",,
63,Gojo,Kuninaga,Mumei [五条国永],Katana,72,1.8,2.8,1.9,Suriage,3,21.2,Hi,Juyo 69,Yamashiro,Late Heian,JNZ,NA,NA,,
64,Gojo,Kuninaga,Mumei [伝国永],Katana,70.1,2.5,2.5,1.6,Suriage,2,16.2,Hi,Juyo 24,Yamashiro,Late Heian,"TB 204, JNZ, KANHI2",NA,Kunzan Sayagaki,,
65,Gojo,Kuninaga,国永,Ken,32.1,0,1.8,NA,Ubu,1,9.7,NA,"Juyo Bunkazai, Location Unlisted",Yamashiro,Late Heian,"JUBU, CUL, JBRN01773, EHI, NIIC, TAI",NA,NA,,
66,Gojo,Kuninaga,Mumei [伝五条国永],Ken,25.8,0,2.1,NA,Ubu,2,8,Hi,Juyo 31,Yamashiro,Late Heian - Early Kamakura,JNZ,NA,NA,,
67,Gojo,Kuninori,国則,Tachi,78.1,2.7,2.9,1.5,Ubu,1,19.5,NA,Private,Yamashiro,Late Heian - Early Kamakura,KYO,NA,NA,,
68,Gojo,Gojo,Mumei [伝五条],Tachi,76.4,2.2,2.5,1.4,Ubu,2,17.3,Hori,"Juyo 59, Tokubetsu Juyo 25",Yamashiro,Late Heian,TJNZ,NA,NA,,
69,Gojo,Gojo,Mumei [伝五条],Katana,68.7,1.9,2.4,1.2,Suriage,2,21.2,NA,Juyo 20,Yamashiro,Late Heian,"JNZ, OPL",NA,Tanobe Sayagaki,,
70,Gojo,Gojo,Mumei [五条],Katana,63.8,1.5,2.4,1.4,Suriage,3,15,Hi,Juyo 62,Yamashiro,Late Heian - Early Kamakura,OPL,NA,"Honami Sayagaki (Gojo Kanenaga), Koshirae",,
71,Ko-Kyo,Ko-Kyo,Mumei [古京物],Tachi,75.2,1.2,2.7,1.5,Ubu,2,NA,NA,Tokubetsu Hozon,Yamashiro,Late Heian - Early Kamakura,"OPL, TH1000909",NA,Tanobe Sayagaki,,
72,Ko-Kyo,Ko-Kyo,Mumei [古京物],Tachi,73.9,NA,NA,NA,Suriage,3,NA,Hi,"Juyo Bijutsuhin, Private Tokyo",Yamashiro,Early Kamakura,JUBI,NA,NA,,
73,Ko-Kyo,Ko-Kyo,Mumei [古京物],Tachi,73.2,2.8,2.6,1.3,Ubu,1,19.7,NA,Juyo 69,Yamashiro,Late Heian - Early Kamakura,JNZ,NA,NA,,
74,Ko-Kyo,Ko-Kyo,Mumei [古京物],Tachi,70.7,2.6,2.4,1.4,Ubu,2,17.8,NA,Juyo 49,Yamashiro,Early Kamakura,JNZ,NA,NA,,
75,Ko-Kyo,Ko-Kyo,Mumei [古京物],Katana,80,NA,NA,NA,Suriage,2,NA,NA,Tanobe Sayagaki,Yamashiro,Late Heian,OPL,NA,"Tanobe Sayagaki, Koshirae",,
76,Ko-Kyo,Ko-Kyo,Mumei [伝古京物],Katana,72.5,1.5,3,2,Suriage,2,NA,Hi,Tokubetsu Hozon,Yamashiro,Late Heian - Early Kamakura,"OPL, TH1020946",NA,NA,,
77,Ko-Kyo,Ko-Kyo,Mumei [古京物],Katana,67.3,1.7,2.9,1.9,Suriage,3,18.4,Hi,Tokubetsu Hozon,Yamashiro,Late Heian - Early Kamakura,"OPL, TH1019294",NA,Tanobe Sayagaki,,
78,Ko-Kyo,Ko-Kyo,Mumei [古京物] [Kiritsuke 城州兼永/ 天和二年五月三日折紙有/ 宝暦四年二月信高磨上之],Wakizashi,54.6,1.4,2.8,2.1,Suriage,1,14.7,Hi,Juyo 41,Yamashiro,Late Heian - Early Kamakura,JNZ,"Denrai - Tokugawa Family, Owari Tokugawa Family",NA,,
79,Goban Kaji,Kiku,(菊紋) 一,Tachi,78.4,2.3,3,1.6,Ubu,2,19.7,NA,Akihasan Hongu Akiha Shrine,Yamashiro,Kamakura,AHAS,NA,NA,,
80,Goban Kaji,Kiku,菊紋,Tachi,77.9,NA,NA,NA,Ubu,1,NA,NA,"Juyo Bijutsuhin, Itsukushima Jinja",Yamashiro,Early Kamakura,JUBI,Burned 1887,NA,,
81,Goban Kaji,Kiku,菊紋,Tachi,77.8,2.3,2.8,1.5,Ubu,1,18.5,NA,"Juyo Bunkazai, Kyoto National Museum",Yamashiro,Early Kamakura,"GAK, ART, KOZA, EKO, KYO, JUBU, CUL, JBRN01204, KNM, JPS",Denrai - Echizen Matsudaira Family,Koshirae,,
82,Goban Kaji,Kiku,菊紋,Tachi,77.3,3,2.7,1.8,Ubu,2,17.9,NA,Tokyo National Museum,Yamashiro,Early Kamakura,"TB 134, KOZA, MEOS",Denrai - Kujo Family,NA,,
83,Goban Kaji,Kiku,(菊紋) 一 [菊御作],Tachi,77.2,2,2.8,1.5,Ubu,2,18.2,NA,"Juyo 35, Tokubetsu Juyo 11",Yamashiro,Early Kamakura,"JNZ, TJNZ",Denrai - Yamauchi Family,Honami Origami,,
84,Goban Kaji,Kiku,Mumei [菊作],Tachi,75.8,3.2,NA,NA,Ubu,2,17.2,Hi,Tokyo National Museum,Yamashiro,Early Kamakura,"UG, UES, GYOK, OEYE, JPS",Denrai - Uesugi Kagekatsu,Koshirae,,
85,Goban Kaji,Kiku,(菊紋) [伝菊御作],Tachi,75.2,3.2,3.1,2.1,Ubu,2,18.1,Hi,"Juyo 53, Tokubetsu Juyo 21",Yamashiro,Early Kamakura,"JNZ, TJNZ",Denrai - Kuroda Family,NA,,
86,Goban Kaji,Kiku,菊紋,Tachi,74.2,1.9,3,1.5,Ubu,3,22,NA,"Juyo Bunkazai, Hayashibara Museum of Art",Yamashiro,Early Kamakura,"KYO, CUL, JBRN01208, OKA, HAYA",NA,NA,,
87,Goban Kaji,Kiku,菊紋,Tachi,72.7,2.7,2.8,1.8,Ubu,2,15.8,NA,"Juyo Bunkazai, Kurokawa Research Institute",Yamashiro,Early Kamakura,"KYO, JUBU, CUL, JBRN01414, HYO, KURO",NA,NA,,
88,Goban Kaji,Kiku,菊紋,Tachi,72.4,2.5,2.8,1.5,Ubu,3,13.4,NA,"Juyo Bunkazai, Tokugawa Art Museum",Yamashiro,Early Kamakura,"TG, KYO, CUL, JBRN01186, TOK3, TOK6, TOKS","Meito – Kiku Ichimonji 菊一文字, Denrai - Tokugawa Hidetada, Owari Tokugawa Family",Sayagaki,,
89,Goban Kaji,Kiku,Mumei [伝菊紋],Katana,71.7,NA,NA,NA,Suriage,4,NA,NA,"Juyo Bijutsuhin, Private Tokyo",Yamashiro,Early Kamakura,JUBI,Denrai - Matsudaira Family,NA,,
90,Goban Kaji,Kiku,Mumei [菊御作],Katana,70.3,1.9,2.7,1.9,Suriage,2,19.5,NA,Juyo 22,Yamashiro,Early Kamakura,"TB 208, JNZ, KANHI3",NA,"Kunzan Sayagaki, Honami Origami",,
91,Awataguchi,Kunitomo,Mumei [粟田口国友] (Juyo 10 Mumei [古備前]),Tachi,76.6,2.6,2.7,1.7,Ubu,2,18.6,NA,"Juyo 10, Tokubetsu Juyo 5, Private",Yamashiro,Early Kamakura,"TB 630f, JNZ, TJNZ",NA,NA,,
92,Awataguchi,Kunitomo,国友[Kishin mei ga aru 熱田神宝図書/ 熱田太神宮奉納太刀/ 嘉吉元年十二月日大宮司千 秋民部少輔藤原朝臣季貞],Tachi,75.8,2.2,2.8,1.4,Ubu,1,18,NA,"Juyo Bunkazai, Atsuta Jingu",Yamashiro,Early Kamakura,"ATSU, KYO, JUBU, CUL, JBRN01334, AIC, ATSB, ATSO, AICC",Dedicated to the shrine by Chiaki Suesada in 1441,NA,,
93,Awataguchi,Kunitomo,国友,Tachi,74.2,2.2,2.7,1.6,Ubu,2,21.7,Hi,"Juyo 1, Tokubetsu Juyo 11, Private",Yamashiro,Early Kamakura,"TB 212f, TB 232, TB 272, TB 293, TB 352, TBE 3, TBE 10, JNZ, TJNZ, SC, KOZA",NA,NA,,
94,Awataguchi,Kunitomo,国友,Tachi,72.4,2.1,2.5,1.4,Ubu,2,18.8,NA,"Juyo Bijutsuhin, Kurokawa Research Institute",Yamashiro,Early Kamakura,"JUBI, KURO",NA,NA,,
95,Awataguchi,Hisakuni,久国 (花押),Tachi,80.4,3.1,2.8,1.8,Ubu,2,18.6,NA,"Kokuho, Agency for Cultural Affairs, on Deposit Tokyo National Museum",Yamashiro,Early Kamakura,"TB 576f, ART, KOZA, SHO, CLUB, KYO, SDZ, CUL, KOK, JUBU, JBRN00009, TAI, TNSE","Denrai - Tokugawa Ieyasu, Kishu Tokugawa Family, Matsudaira Family",NA,,
96,Awataguchi,Hisakuni,久国,Tachi,78.6,2.7,2.8,1.8,Ubu,2,18.6,NA,Juyo 22,Yamashiro,Early Kamakura,"TB 207, JNZ, KANHI3",NA,Kunzan Sayagaki,,
97,Awataguchi,Hisakuni,久国,Tachi,78.5,1.8,2.8,1.7,Suriage,2,15.8,NA,"Juyo Bunkazai, Private Tokyo",Yamashiro,Early Kamakura,"TB 439f, MKS, KOZA, SHO, SDZ, JUBU, CUL, JBRN01113, KOZU, TAI",Denrai - Akimoto Family,NA,,
98,Awataguchi,Hisakuni,久国,Tachi,77,NA,NA,NA,Ubu,3,NA,NA,Kunzan Sayagaki,Yamashiro,Early Kamakura,"TB 219, KANHI3",Saiha,Kunzan Sayagaki,,
99,Awataguchi,Hisakuni,久国,Tachi,74.4,2,2.4,1.4,Ubu,1,18.5,NA,"Juyo 19, Tokubetsu Juyo 8",Yamashiro,Early Kamakura,"JNZ, TJNZ",NA,NA,,
100,Awataguchi,Hisakuni,久国,Tachi,69.4,1.8,2.5,1.9,Suriage,3,21.5,NA,Seikado Bunko Art Museum,Yamashiro,Early Kamakura,"SEI, SEI2",NA,NA,,
101,Awataguchi,Hisakuni,藤次郎久国[Kinzogan 豊後守斉宣帯之],Tachi,68.4,2.2,2.4,1.5,Suriage,4,24.5,NA,Juyo 20,Yamashiro,Early Kamakura,"JNZ, KANHI1",Denrai - Kishu Tokugawa Family,NA,,
102,Awataguchi,Hisakuni,久国,Tachi,66.7,1.5,2.4,1.5,Suriage,2,17.6,NA,Imperial Collection or Tokyo National Museum,Yamashiro,Early Kamakura,"KOZA, MEOS",Gyobutsu,NA,,
103,Awataguchi,Hisakuni,久国,Tachi,65.1,2,NA,NA,NA,NA,NA,NA,"Juyo Bunkazai, Private Shizuoka",Yamashiro,Early Kamakura,"CUL, JBRN01012, AKI",NA,NA,,
104,Awataguchi,Hisakuni,Mei ga aru 久国,Tachi,NA,NA,NA,NA,Suriage,4,NA,Hi,"Juyo Bijutsuhin, Private Shiga",Yamashiro,Early Kamakura,JUBI,NA,NA,,
105,Awataguchi,Hisakuni,[Kinzogan 久国],Katana,75.2,2.4,2.9,1.9,Suriage,2,19.6,NA,Juyo 24,Yamashiro,Early Kamakura,"TB 231, JNZ",NA,NA,,
106,Awataguchi,Hisakuni,Mumei [伝粟田口久国] [Kinzogan 松平右衛門佐忠政喞所持/ 片手胴切手中川左平太 (花押)] (Juyo 23 [Kinzogan ga aru 来国次]),Katana,71.4,2.2,2.7,1.8,Suriage,3,19.2,Hi,"Juyo 23, Tokubetsu Juyo 6",Yamashiro,Early Kamakura,"JNZ, TJNZ",NA,NA,,
107,Awataguchi,Hisakuni,Mumei [伝粟田口久国],Katana,70.6,1.7,2.5,1.7,Suriage,1,19.2,NA,"Juyo 31, Tokubetsu Juyo 14",Yamashiro,Early Kamakura,"JNZ, TJNZ",NA,NA,,
108,Awataguchi,Hisakuni,Mumei,Katana,65.1,NA,NA,NA,Suriage,1,NA,NA,XX,Yamashiro,Early Kamakura,TB 383,NA,NA,,
109,Awataguchi,Hisakuni,Gakumei 久国,Katana,NA,NA,NA,NA,Suriage,2,NA,NA,Tokyo National Museum,Yamashiro,Early Kamakura,JPS,Tokyo National Museum F-8,NA,,
110,Awataguchi,Hisakuni,[Kinzogan 久国/ 薫山 (花押)] (Juyo 27 Mumei [久国]),Wakizashi,47.2,0.7,2.5,1.9,Suriage,2,14.8,Hi,"Juyo 27, Juyo 67",Yamashiro,Early Kamakura,JNZ,NA,NA,,
111,Awataguchi,Hisakuni,Mumei [伝粟田口久国],Wakizashi,46.8,0.7,2.4,1.8,Suriage,2,13.8,NA,Juyo 21,Yamashiro,Early Kamakura,"TB 189, TB 321, JNZ, KANHI2",NA,Kunzan Sayagaki,,
112,Awataguchi,Hisakuni,久国,Tanto,29.4,0.3,2.5,NA,Ubu,2,11.4,Hi,"Juyo Bijutsuhin, Private Tokyo",Yamashiro,Early Kamakura,"TB 373f, MKS, JUBI",NA,NA,,
113,Awataguchi,Hisakuni,久国,Tanto,24.9,NA,2,NA,Ubu,2,10.3,Hi,Juyo 26,Yamashiro,Early Kamakura,"TB 301, JNZ",NA,NA,,
114,Awataguchi,Hisakuni,Mumei [伝久国],Tanto,24.2,NA,1.9,NA,Ubu,4,10.6,NA,Juyo 12,Yamashiro,Early Kamakura,JNZ,NA,NA,,
